"","Sample_ID","taxon","taxonomic_level","assigned_taxon_class","reads","PCR_replicate","vial_id","collection_year","ReadsPerSample","read_prop","mid_latitude","mid_longitude","lme","Diatom_Indicator_percWT","Total_FA_Conc_WWT","gear_temperature"
"109","e02802-2-18S","Pleurocybella porrigens","species","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"110","e02802-2-18S","Polychaeta","class","Polychaeta",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"111","e02802-2-18S","Schizoporaceae","family","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"112","e02802-2-18S","Strombidium biarmatum","species","Spirotrichea",56,2,"162-35",2022,654.3769055,0.0855775922550494,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"113","e02802-2-18S","Thaumatomonadida","order","Imbricatea",23,2,"162-35",2022,654.3769055,0.035147939676181,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"114","e02802-2-18S","Tintinnidium cf. primitivum","species","Spirotrichea",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"115","e02802-2-18S","Tremellales","order","Fungi",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"116","e02802-2-18S","Triparmaceae","family","Bolidophyceae",0,2,"162-35",2022,654.3769055,0,62.33041,-175.28957,"NBS",2.067002972,107.5875763,-1.6
"117","e02803-1-18S","Actinopteri","class","Actinopteri",73,1,"162-31",2022,26644,0.00273982885452635,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"118","e02803-1-18S","Agaricales","order","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"119","e02803-1-18S","Agaricomycetes","class","Fungi",2442,1,"162-31",2022,26644,0.0916529049692238,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"120","e02803-1-18S","Amylocorticium cebennense","species","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"121","e02803-1-18S","Ascomycota","phylum","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"122","e02803-1-18S","Ascomycota/Basidiomycota","phylum","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"123","e02803-1-18S","Auranticordis quadriverberis","species","Imbricatea",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"124","e02803-1-18S","Basidiomycota","phylum","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"125","e02803-1-18S","Cercozoa","phylum","Imbricatea",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"126","e02803-1-18S","Chaetoceros","genus","Bacillariophyceae",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"127","e02803-1-18S","Coscinodiscophyceae","class","Coscinodiscophyceae",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"128","e02803-1-18S","Curvibasidium","genus","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"129","e02803-1-18S","Cyclotrichium cyclokaryon","species","Litostomatea",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"130","e02803-1-18S","Cyranomonas australis","species","Imbricatea",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"131","e02803-1-18S","Dichomitus squalens","species","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"132","e02803-1-18S","Ebria tripartita","species","Ebriophyceae",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"133","e02803-1-18S","Esquamula lacrimiformis","species","Imbricatea",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"134","e02803-1-18S","Gastropoda","class","Gastropoda",23847,1,"162-31",2022,26644,0.895023269779312,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"135","e02803-1-18S","Mamiellaceae","family","Mamiellophyceae",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"136","e02803-1-18S","Mammalia","class","Mammalia",265,1,"162-31",2022,26644,0.00994595406095181,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"137","e02803-1-18S","Mataza hastifera","species","Thecofilosea",17,1,"162-31",2022,26644,0.000638042335985588,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"138","e02803-1-18S","Pleurocybella porrigens","species","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"139","e02803-1-18S","Polychaeta","class","Polychaeta",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"140","e02803-1-18S","Schizoporaceae","family","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"141","e02803-1-18S","Strombidium biarmatum","species","Spirotrichea",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"142","e02803-1-18S","Thaumatomonadida","order","Imbricatea",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"143","e02803-1-18S","Tintinnidium cf. primitivum","species","Spirotrichea",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"144","e02803-1-18S","Tremellales","order","Fungi",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"145","e02803-1-18S","Triparmaceae","family","Bolidophyceae",0,1,"162-31",2022,26644,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"146","e02803-2-18S","Actinopteri","class","Actinopteri",0,2,"162-31",2022,11990,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"147","e02803-2-18S","Agaricales","order","Fungi",99,2,"162-31",2022,11990,0.00825688073394495,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"148","e02803-2-18S","Agaricomycetes","class","Fungi",0,2,"162-31",2022,11990,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"149","e02803-2-18S","Amylocorticium cebennense","species","Fungi",0,2,"162-31",2022,11990,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
"150","e02803-2-18S","Ascomycota","phylum","Fungi",0,2,"162-31",2022,11990,0,62.33041,-175.28957,"NBS",2.085903465,173.0946278,-1.6
